Id,Predicted
22267382,130.16437
27551517,86.079765
27016367,214.72783
20917330,118.01854
21531318,73.92323
24730560,44.65686
4332961,190.15375
21900790,150.07957
15898592,58.908337
721762,185.13713
25045574,62.853493
9822032,60.583298
217486,212.41988
4799839,97.26062
16468214,68.86207
17666319,154.60829
13064386,53.561176
10600032,53.55228
25426171,89.39774
15988392,50.46981
20773211,74.42951
22817094,255.3931
7541249,75.92952
21023051,53.1268
647413,129.9489
4365833,115.34082
2686794,124.59411
10233196,74.48944
21784703,47.60215
1455804,147.89243
19379532,94.53632
2880864,53.633114
19530778,45.76064
26873391,104.3985
16427197,97.04708
24473713,98.21533
4550041,58.15011
11146017,62.077877
7240563,108.06727
24151123,33.554787
23118522,128.00488
19866106,50.77272
1392673,129.16061
3907603,72.45219
3479639,169.78961
6328175,213.43489
13479810,67.07669
5494750,41.29785
6371191,147.10597
8444013,132.6148
9153256,179.49768
20281046,133.13914
11212414,180.1397
9626230,195.23535
29192784,68.89815
4437053,88.10681
24288869,58.296326
14530298,170.09148
17461281,125.2385
6077354,54.338917
3464551,129.08844
20075454,76.73811
22464295,180.2099
13039351,135.66223
15563361,125.17297
695002,148.38745
5779752,91.35688
16179502,92.02142
3038797,134.4334
20235701,91.55011
13433870,58.48864
22228248,47.179512
23614276,75.78455
23247514,45.727077
19663834,171.293
27083575,42.18755
15301964,52.98568
18649105,43.156815
21414931,68.24523
18321772,44.6228
1167269,66.802536
27439827,59.11424
24262420,236.8239
13862929,98.17403
8272327,140.30664
22008794,50.373478
3975630,116.21587
17717799,53.85589
18869692,60.16891
22686497,106.36865
4490509,149.7514
27748611,616.98926
21042120,56.403564
28290764,55.194477
6937480,41.42365
3262855,111.898895
27783773,181.92715
6452251,169.7758
13648819,162.52599
19532525,58.194874
1570204,184.57274
29331821,218.45486
9555648,93.836914
17043121,182.70528
24834058,59.436924
28079070,96.14485
25265245,60.31059
25291819,58.739094
21196568,124.65832
28956552,137.54457
10116734,267.17847
28249944,121.169304
18577672,50.893433
3400645,160.03645
20755255,75.45634
18359368,370.74915
20928140,171.84003
3511778,112.07725
28560765,70.91362
4849173,195.60632
294227,163.40535
25804970,65.214516
16412823,76.228165
9970036,76.75242
12423868,142.95735
17956441,263.11615
4738946,68.34961
15088367,76.62557
7101822,187.78041
9238515,54.46196
29338736,260.52423
828685,55.900337
7244824,67.52362
23998844,165.29738
9525241,154.98837
28467110,211.8412
3970755,136.62277
23169036,165.42693
690349,128.93958
20803637,215.20618
12088314,117.08926
7397699,49.535324
1359438,107.091354
23290010,52.38001
5400418,71.09903
1150382,172.20056
21037249,63.127056
1859901,175.69092
4492678,147.5026
15769652,510.92258
15989115,72.725746
20637432,104.722
20659193,41.076656
22688123,169.39651
17906420,141.46925
8390906,234.15596
14389040,111.94258
24910361,161.52844
11591700,237.36967
9562872,97.73117
29559298,428.8228
1496319,197.70238
5636395,72.20828
6908837,45.191338
14167287,66.46592
9487424,378.05023
1186153,76.27407
23560164,192.35083
27852878,62.7334
4338548,170.57877
21951077,232.1909
2445856,60.265644
21695662,137.71104
22579760,59.490257
18362628,67.4648
21081875,89.85453
14522432,142.67798
260765,141.337
29122405,188.92671
3635348,122.024086
13040683,57.425438
9902314,52.859177
10037631,163.21481
20074905,158.44685
25887161,97.78047
13428478,103.42645
8722224,98.496735
3510929,147.97423
15053461,45.30638
13375606,30.128222
22484204,62.78373
10052674,133.83737
24976971,225.31442
21923242,122.605156
25192,104.33878
27031352,248.95865
22479926,70.80108
4484212,109.54053
23708317,94.02902
20194913,44.73261
20304193,54.00321
27469022,243.78336
8760442,98.20418
397420,61.38058
21620762,168.5216
2571283,159.14561
23453139,223.32886
20787735,102.89802
28760431,162.7899
22264539,66.59287
21009103,90.86671
6967201,114.97881
10230429,102.03501
15633514,71.6966
6134199,159.79367
15126360,159.61737
15658350,176.6723
20390763,72.21898
12539250,102.427986
19567629,79.79839
19798715,57.419857
29338760,97.85842
14834287,102.694244
21837063,70.349625
22766857,122.06029
6645263,131.7608
9611741,307.85263
23292982,104.96032
17682843,42.338734
